INFO 2022-01-07 14:04:43,822 ok
INFO 2022-01-07 14:05:39,709 login_user_page ok
INFO 2022-01-07 14:06:25,178 login_user_page ok
INFO 2022-01-07 14:07:52,767 login_user_page ok
INFO 2022-01-07 14:11:03,548 login_user_page ok
INFO 2022-01-07 14:12:30,202 todo.routs OK
INFO 2022-01-07 14:12:30,311 todo.routs OK
INFO 2022-01-07 14:12:54,412 announcement_chapter OK
INFO 2022-01-07 14:12:54,522 announcement_chapter OK
INFO 2022-01-07 14:12:55,481 announcement_chapter OK
INFO 2022-01-07 14:12:55,580 announcement_chapter OK
INFO 2022-01-07 14:13:19,049 announcement_chapter OK
INFO 2022-01-07 14:13:19,155 announcement_chapter OK
INFO 2022-01-07 14:13:19,570 announcement_chapter OK
INFO 2022-01-07 14:13:25,915 announcement_chapter OK
INFO 2022-01-07 14:13:31,315 announcement_chapter OK
INFO 2022-01-07 14:13:51,356 announcement_chapter OK
INFO 2022-01-07 14:13:55,860 announcement_chapter OK
INFO 2022-01-07 14:13:55,956 announcement_chapter OK
INFO 2022-01-07 14:13:56,866 announcement_chapter OK
INFO 2022-01-07 14:14:00,901 announcement_chapter OK
INFO 2022-01-07 14:15:30,165 announcement_chapter OK
INFO 2022-01-07 14:15:31,271 announcement_chapter OK
INFO 2022-01-07 14:15:32,146 announcement_chapter OK
INFO 2022-01-07 14:15:36,361 announcement_chapter OK
INFO 2022-01-07 14:15:48,199 announcement_chapter OK
INFO 2022-01-07 14:15:49,516 announcement_chapter OK
INFO 2022-01-07 14:17:06,425 announcement_chapter OK
INFO 2022-01-07 14:17:10,237 announcement_chapter OK
INFO 2022-01-07 14:17:17,484 announcement_chapter OK
INFO 2022-01-07 14:19:03,376 login_user_page ok
INFO 2022-01-07 14:19:56,986 login_user_page ok
INFO 2022-01-07 14:20:01,207 login_user_page ok
INFO 2022-01-07 14:30:03,038 login_user_page ok
INFO 2022-01-07 14:30:09,277 login_user_page ok
INFO 2022-01-07 14:31:53,597 login_user_page ok
INFO 2022-01-07 14:32:00,964 login_user_page ok
INFO 2022-01-07 14:32:23,156 login_user_page ok
INFO 2022-01-08 12:29:39,133 login_user_page ok
INFO 2022-01-08 12:30:41,118 login_user_page ok
INFO 2022-01-08 12:31:36,094 announcement_chapter OK
INFO 2022-01-08 12:31:38,146 announcement_chapter OK
INFO 2022-01-08 12:31:39,567 announcement_chapter OK
INFO 2022-01-08 12:31:40,879 announcement_chapter OK
INFO 2022-01-08 17:41:23,035 index_page OK
INFO 2022-01-08 17:41:35,281 index_page OK
INFO 2022-01-08 17:41:39,242 login_user_page ok
INFO 2022-01-08 17:42:00,605 login_user_page ok
INFO 2022-01-08 17:42:07,374 login_user_page ok
INFO 2022-01-08 17:43:57,392 login_user_page ok
INFO 2022-01-08 17:44:55,737 index_page OK
INFO 2022-01-08 17:45:02,522 login_user_page ok
INFO 2022-01-08 17:45:12,207 login_user_page ok
INFO 2022-01-08 17:45:20,505 login_user_page ok
INFO 2022-01-08 17:45:33,125 index_page OK
ERROR 2022-01-08 17:50:22,939 index_page 'datetime.datetime' object is not subscriptable
ERROR 2022-01-08 17:50:27,526 index_page 'datetime.datetime' object is not subscriptable
ERROR 2022-01-08 17:50:36,347 index_page 'datetime.datetime' object is not subscriptable
ERROR 2022-01-08 17:51:59,768 index_page 'str' is undefined
ERROR 2022-01-08 17:52:01,322 index_page 'str' is undefined
INFO 2022-01-08 18:00:57,850 login_user_page ok
INFO 2022-01-08 18:01:29,707 login_user_page ok
INFO 2022-01-08 18:02:14,746 login_user_page ok
INFO 2022-01-08 18:02:21,709 login_user_page ok
INFO 2022-01-08 18:02:26,480 login_user_page ok
INFO 2022-01-08 18:02:29,033 login_user_page ok
INFO 2022-01-08 18:04:01,594 login_user_page ok
INFO 2022-01-08 18:04:11,973 login_user_page ok
INFO 2022-01-08 18:04:15,541 index_page OK
INFO 2022-01-08 18:06:31,117 login_user_page ok
INFO 2022-01-08 18:06:59,285 login_user_page ok
INFO 2022-01-08 18:07:23,629 login_user_page ok
INFO 2022-01-08 18:07:37,064 login_user_page ok
INFO 2022-01-08 18:08:06,977 login_user_page ok
INFO 2022-01-08 18:08:11,162 login_user_page ok
INFO 2022-01-08 18:08:13,437 index_page OK
ERROR 2022-01-08 18:11:52,735 index_page unexpected '%'
ERROR 2022-01-09 17:40:53,780 index_page 'len' is undefined
ERROR 2022-01-09 17:41:32,504 index_page 'len' is undefined
